"userid","path_type","multi_user_label","single_user","multiple_user","total_events","completed_count","completed_cat","not_completed_count","event_count_cat","device_cat","ipad_event","iphone_event","ipod_event","max_stage_complete","pathways_complete_rank","pathways_reach_rank","pathways_count","alc_count","average_age_int","max_stage","first_week","second_week","third_week","distinct_weeks","distinct_days","avg_weekly_visit","avg_daily_hrs","weekly_visit_cat","max_days_into_trial","avg_days_from_trial","trial_day","max_stage_num","avg_level","avg_cluster","avg_step","pop_event_day","pop_title","pop_category","distinct_titles","title_count_cat","max_row","max_column","avg_row","avg_col","ctp"
1.0912687555606593e+18,"alc, pathways","Single-user",1,0,97,64,"very_high",24,"very high","iPhone",0,97,0,"B",531,541,92,5,3,"B",1,1,1,4,13,19,1,"high",31,15,9,2,3,1,4,"Monday   ","Letter Hunt",,26,"high",9,3,3,1,1
1.0950701600484616e+18,"alc, pathways","Multiple-user",0,1,193,120,"very_high",66,"very high","iPad",193,0,0,"C",561,571,105,88,4,"C",1,1,1,4,13,39,4,"very high",28,15,14,3,3,1,4,"Thursday ","What Comes Next?",,78,"very high",7,25,2,7,1
1.1001813192272559e+18,"alc, pathways","Single-user",1,0,58,45,"med",13,"high","iPad",58,0,0,,,,1,57,7,,1,1,1,4,7,15,2,"medium",29,14,6,,1,,1,"Sunday   ","Sight Word Match","GAM",52,"very high",17,25,3,6,0
1.1075146118139858e+18,"pathways","Multiple-user",0,1,62,47,"med",14,"high","iPad",62,0,0,"C",631,631,62,0,4,"C",1,0,1,2,2,21,0,"high",18,9,11,3,4,1,6,"Wednesday","Meet the Letter A",,35,"high",,,,,0
1.122467124232844e+18,"pathways","Single-user",1,0,27,23,"med",3,"medium","iPhone",0,27,0,"C",391,401,27,0,5,"C",1,0,0,1,1,27,0,"high",0,0,8,3,2,1,5,"Sunday   ","Meet the Letter A",,19,"med",,,,,0
1.1281989417528972e+18,"pathways","Single-user",1,0,12,12,"med",0,"low","iPad",12,0,0,"C",301,301,12,0,3,"C",1,0,0,1,1,12,0,"medium",2,2,5,3,2,1,9,"Sunday   ","Memory Game: Zoo",,3,"low",,,,,1
1.1284036195721772e+18,"alc","Single-user",1,0,40,33,"med",7,"high","iPhone",0,40,0,,,,0,40,8,,1,0,1,2,4,20,0,"high",16,8,9,,,,,"Wednesday","Camp Adventure","GAM",32,"high",12,38,2,11,1
1.1310179789763581e+18,"alc","Multiple-user",0,1,47,38,"med",9,"high","iPad",47,0,0,,,,0,47,4,,1,0,0,1,2,47,0,"very high",1,0,5,,,,,"Friday   ","If I Were President","GAM",40,"high",18,23,7,4,1
1.1356856103274793e+18,"alc, pathways","Multiple-user",0,1,165,105,"very_high",55,"very high","iPhone",0,165,0,"B",541,551,136,29,3,"B",1,1,1,4,12,33,0,"very high",30,15,9,2,3,1,4,"Monday   ","Let's Draw",,75,"very high",10,11,4,3,1
1.1362404452649917e+18,"pathways","Single-user",1,0,12,10,"med",2,"low","iPhone",0,12,0,"D",281,281,12,0,7,"D",1,0,0,1,1,12,0,"medium",0,0,9,4,2,1,4,"Monday   ","What's That Sound?",,10,"med",,,,,0
1.1435088796811528e+18,"pathways","Single-user",1,0,7,5,"low",1,"low","iPad",7,0,0,"C",221,231,7,0,5,"C",1,0,0,1,2,7,0,"low",1,0,12,3,2,1,2,"Thursday ","Same or Different",,6,"low",,,,,1
